Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J4,Micro_SD_TF_PUSH,TF-Push,178.25,-115.2,90.0,top
J14,Conn_EYESPI,G-Shell-FPC_1x18_P0.50mm_Horizontal,160.55,-105.275,180.0,top
Q1,AO3401A,SOT-23,105.5,-117.2375,270.0,top
R1,10K,R_0402_1005Metric,115.2,-139.0,180.0,top
R2,10K,R_0402_1005Metric,111.59,-139.0,180.0,top
R3,10K,R_0402_1005Metric,124.8,-117.6,-90.0,top
R4,15K,R_0402_1005Metric,123.5,-117.6,90.0,top
R5,10K,R_0402_1005Metric,120.475,-118.1,180.0,top
R6,56K,R_0402_1005Metric,107.2,-109.325,-90.0,top
R7,43K,R_0603_1608Metric,108.9,-109.325,90.0,top
