# https://onlinesequencer.net/1914040
bpm = 140
ref = 0.25
0 C5 2 0
2 E5 2 0
4 G5 2 0
6 C6 2 0
8 E6 2 0
10 G5 2 0
12 C6 2 0
14 E6 2 0
16 C5 2 0
18 E5 2 0
20 G5 2 0
22 C6 2 0
24 E6 2 0
26 G5 2 0
28 C6 2 0
30 E6 2 0
32 C5 2 0
34 D5 2 0
36 A5 2 0
38 D6 2 0
40 F6 2 0
42 A5 2 0
44 D6 2 0
46 F6 2 0
48 C5 2 0
50 D5 2 0
52 A5 2 0
54 D6 2 0
56 F6 2 0
58 A5 2 0
60 D6 2 0
62 F6 2 0
64 B4 2 0
66 D5 2 0
68 G5 2 0
70 D6 2 0
72 F6 2 0
74 G5 2 0
76 D6 2 0
78 F6 2 0
80 B4 2 0
82 D5 2 0
84 G5 2 0
86 D6 2 0
88 F6 2 0
90 G5 2 0
92 D6 2 0
94 F6 2 0
96 C5 2 0
98 E5 2 0
100 G5 2 0
102 C6 2 0
104 E6 2 0
106 G5 2 0
108 C6 2 0
110 E6 2 0
112 C5 2 0
114 E5 2 0
116 G5 2 0
118 C6 2 0
120 E6 2 0
122 G5 2 0
124 C6 2 0
126 E6 2 0
128 C5 2 0
130 E5 2 0
132 A5 2 0
134 E6 2 0
136 A6 2 0
138 A5 2 0
140 E6 2 0
142 A6 2 0
144 C5 2 0
146 E5 2 0
148 A5 2 0
150 E6 2 0
152 A6 2 0
154 A5 2 0
156 E6 2 0
158 A6 2 0
160 C5 2 0
162 D5 2 0
164 F#5 2 0
166 A5 2 0
168 D6 2 0
170 F#5 2 0
172 A5 2 0
174 D6 2 0
176 C5 2 0
178 D5 2 0
180 F#5 2 0
182 A5 2 0
184 D6 2 0
186 F#5 2 0
188 A5 2 0
190 D6 2 0
192 B4 2 0
194 D5 2 0
196 G5 2 0
198 D6 2 0
200 G6 2 0
202 G5 2 0
204 D6 2 0
206 G6 2 0
208 B4 2 0
210 D5 2 0
212 G5 2 0
214 D6 2 0
216 G6 2 0
218 G5 2 0
220 D6 2 0
222 G6 2 0
224 B4 2 0
226 C5 2 0
228 E5 2 0
230 G5 2 0
232 C6 2 0
234 E5 2 0
236 G5 2 0
238 C6 2 0
240 B4 2 0
242 C5 2 0
244 E5 2 0
246 G5 2 0
248 C6 2 0
250 E5 2 0
252 G5 2 0
254 C6 2 0
256 A4 2 0
258 C5 2 0
260 E5 2 0
262 G5 2 0
264 C6 2 0
266 E5 2 0
268 G5 2 0
